fecha;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
2023-03-21;1.24796;1.3018;1.33541;1.34506;1.33966;1.30226;1.18784;1.08444;1.13754;1.04058;1.00236;0.99661;0.99973;0.99289;1.0632;1.09896;1.12342;1.1381;1.0937;1.11527;1.13622;1.15769;1.26373;1.30862
2023-03-22;1.22069;1.26789;1.31661;1.30231;1.29736;1.27511;1.19572;1.10687;1.1628;1.05544;1.02057;1.02864;1.04034;1.03488;1.09808;1.1393;1.16832;1.17786;1.13558;1.14992;1.16293;1.18035;1.28971;1.33547
2023-03-23;1.25319;1.31025;1.34367;1.35169;1.34668;1.30822;1.21774;1.12252;1.17682;1.06746;1.02674;1.02541;1.03706;1.02457;1.09573;1.1424;1.18586;1.23085;1.18998;1.20255;1.21037;1.22184;1.32375;1.36061
2023-03-24;1.2831;1.34077;1.36807;1.37642;1.37231;1.34998;1.23874;1.12565;1.1836;1.08168;1.02366;1.01259;1.00992;1.0131;1.08383;1.12463;1.1501;1.17035;1.13615;1.16815;1.18726;1.21199;1.3094;1.34953
2023-03-25;1.24537;1.29457;1.3388;1.36522;1.38222;1.36774;1.32903;1.26207;1.1557;1.07168;1.02342;1.01885;1.02806;1.03349;1.0364;1.08529;1.12474;1.16381;1.19752;1.2095;1.21289;1.22909;1.25259;1.28028
2023-03-26;1.29153;1.32619;0.0;1.37233;1.43823;1.43177;1.4057;1.37261;1.30817;1.19085;1.07422;1.03745;1.03706;1.06711;1.04755;1.06454;1.11336;1.13712;1.15128;1.14031;1.1509;1.13559;1.17338;1.20245
2023-03-27;1.2853;1.35128;1.37468;1.38922;1.38504;1.33258;1.22782;1.10316;1.13596;1.06112;1.02784;1.04238;1.04765;1.03574;1.09753;1.13919;1.14753;1.16762;1.13896;1.15226;1.14962;1.18433;1.30604;1.34166
2023-03-28;1.24796;1.3018;1.33541;1.34506;1.33966;1.30226;1.18784;1.08444;1.13754;1.04058;1.00236;0.99661;0.99973;0.99289;1.0632;1.09896;1.12342;1.1381;1.0937;1.11527;1.13622;1.15769;1.26373;1.30862
2023-03-29;1.22069;1.26789;1.31661;1.30231;1.29736;1.27511;1.19572;1.10687;1.1628;1.05544;1.02057;1.02864;1.04034;1.03488;1.09808;1.1393;1.16832;1.17786;1.13558;1.14992;1.16293;1.18035;1.28971;1.33547
2023-03-30;1.25319;1.31025;1.34367;1.35169;1.34668;1.30822;1.21774;1.12252;1.17682;1.06746;1.02674;1.02541;1.03706;1.02457;1.09573;1.1424;1.18586;1.23085;1.18998;1.20255;1.21037;1.22184;1.32375;1.36061
